Nome do Jogo,App ID,Tipo de Aplicativo,Desenvolvedor,Publicador,Franquia,Sistemas Suportados,Tecnologias Utilizadas,Última Atualização de Registro,Data de Lançamento,Link do Jogo
Prince of Persia,19980,Game,Ubisoft Montreal,Ubisoft,N/A,", ",N/A,18 May 2024 – 01:28:57 UTC (),10 December 2008 – 18:00:00 UTC (),https://steamdb.info/app/19980/
The Witcher: Enhanced Edition,20900,Game,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",THE WITCHER®,"Windows, macOS, , ",N/A,18 May 2024 – 01:28:57 UTC (),16 September 2008 – 07:00:00 UTC (),https://steamdb.info/pp/20900/,
The Witcher 2: Assassins of Kings Enhanced Edition,20920,Game,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",THE WITCHER®,"Windows, macOS, Linux, , ",N/A,18 May 2024 – 01:28:57 UTC (),17 April 2012 – 01:39:00 UTC ),https://steamdb.info/app/20920/,
Hearts of Iron II: Complete,22130,Game,Paradox Development Studio,Paradox Interactive,Hearts of Iron,"Windows, , ",N/A,18 May 2024 – 01:28:57 UTC (),23 January 2009 – 08:00:00 UTC (),https://steamdb.info/app/2210/,
King Arthur - The Role-playing Wargame,24400,Game,NeocoreGames,Paradox Interactive,N/A,"Windows, , ",N/A,7 March 2024 – 15:25:33 UTC (),25 November 2009 – 01:00:00 UTC (),https://steamdb.info/app/24400/
Europa Universalis III,25800,Game,Paradox Development Studio,Paradox Interactive,Europa Universalis,"macOS, Windows",N/A,18 May 2024 – 01:28:57 UTC (),4 February 2009 – 08:00:00 UTC (),https://steamdb.info/app/2800/,
Knights of Honor,25830,Game,Black Sea Studios Ltd,Paradox Interactive,N/A,", ",N/A,16 April 2024 – 14:31:45 UTC (),4 February 2009 – 08:00:00 UTC (),https://steamdb.info/app/25830/
Hearts of Iron III,25890,Game,Paradox Development Studio,Paradox Interactive,Hearts of Iron,"macOS, Windows, , ",N/A,10 May 2024 – 03:26:45 UTC (),7 August 2009 – 07:00:00 UTC (),https://steamdb.info/app/25890/
Majesty 2,25980,Game,1C:InoCo,Paradox Interactive,N/A,", ",N/A,18 May 2024 – 01:28:57 UTC (),17 September 2009 – 07:00:00 UTC (),https://steamdb.info/app/25980/
Majesty: Gold Edition,25990,Game,Cyberlore,Paradox Interactive,N/A,", ",N/A,16 April 2024 – 15:00:45 UTC (),4 September 2009 – 07:00:00 UTC (),https://steamdb.info/app/25990/
Tales of Monkey Island: Chapter 1 - Launch of the Screaming Narwhal,31170,Game,Telltale,Telltale,N/A,"Windows, macOS, , ",N/A,25 April 2024 – 10:27:17 UTC (),7 July 2009 – 07:00:00 UTC (),https://steamdb.info/ap/31170/,
Puzzle Agent,31270,Game,Telltale,Telltale,N/A,"Windows, macOS, , ",N/A,18 May 2024 – 01:28:57 UTC (),7 July 2010 – 17:00:00 UTC (),https://steamdb.info/app/31270/
