App ID,price_history
2479810,{2024-04-30: 101.99}
232090,"{2022-06-14: 13.99, 2022-07-07: 55.99, 2022-09-01: 13.99, 2022-09-08: 55.99, 2022-10-19: 13.99, 2022-11-01: 55.99, 2022-11-22: 13.99, 2022-11-29: 55.99, 2022-12-07: 13.99, 2022-12-21: 55.99, 2022-12-22: 13.99, 2023-01-05: 55.99, 2023-01-26: 13.99, 2023-01-31: 55.99, 2023-03-09: 13.99, 2023-03-15: 55.99, 2023-03-16: 13.99, 2023-03-23: 55.99, 2023-04-27: 13.99, 2023-05-01: 55.99, 2023-06-05: 13.99, 2023-06-12: 55.99, 2023-06-29: 13.99, 2023-07-21: 55.99, 2023-08-31: 11.19, 2023-09-08: 55.99, 2023-10-19: 11.19, 2023-11-02: 55.99, 2023-11-21: 11.19, 2023-11-28: 55.99, 2023-12-05: 11.19, 2023-12-19: 55.99, 2023-12-21: 11.19, 2024-01-04: 55.99, 2024-01-26: 11.19, 2024-02-05: 55.99, 2024-03-14: 11.19, 2024-03-21: 55.99, 2024-05-16: 2.79}"
239140,"{2022-06-09: 29.99, 2022-07-07: 74.99, 2022-07-28: 24.74, 2022-08-11: 74.99, 2022-09-09: 24.74, 2022-09-16: 74.99, 2022-10-25: 24.99, 2022-11-01: 74.99, 2022-11-02: 22.49, 2022-11-09: 74.99, 2022-11-22: 22.49, 2022-11-29: 74.99, 2022-12-09: 22.49, 2023-01-05: 74.99, 2023-02-14: 24.74, 2023-02-28: 74.99, 2023-03-16: 22.49, 2023-03-23: 74.99, 2023-04-17: 22.49, 2023-05-01: 74.99, 2023-06-09: 22.49, 2023-06-23: 74.99, 2023-06-29: 22.49, 2023-07-13: 74.99, 2023-08-16: 24.99, 2023-08-30: 74.99, 2023-09-28: 22.49, 2023-10-12: 74.99, 2023-10-26: 24.99, 2023-11-02: 74.99, 2023-11-11: 22.49, 2023-11-20: 74.99, 2023-11-21: 37.49, 2023-11-28: 74.99, 2023-12-02: 24.99, 2023-12-16: 74.99, 2023-12-21: 22.49, 2024-01-04: 74.99, 2024-01-05: 22.49, 2024-01-09: 74.99, 2024-01-16: 24.99, 2024-01-30: 74.99, 2024-02-08: 22.49, 2024-02-20: 74.99, 2024-03-05: 24.99, 2024-03-14: 22.49, 2024-03-21: 24.99, 2024-03-22: 22.49, 2024-04-05: 74.99, 2024-05-09: 7.65, 2024-05-19: 50.99}"
1649240,"{2023-01-18: 249.9, 2023-06-19: 199.92, 2023-06-26: 249.9, 2023-06-29: 199.92, 2023-07-13: 249.9, 2023-08-31: 199.92, 2023-09-07: 249.9, 2023-10-26: 167.43, 2023-11-02: 249.9, 2023-11-21: 167.43, 2023-11-28: 249.9, 2023-12-21: 167.43, 2024-01-04: 249.9, 2024-02-05: 167.43, 2024-02-12: 249.9, 2024-03-14: 167.43, 2024-03-28: 249.9, 2024-05-13: 149.94}"
730,{2018-12-06: 0}
2215430,{2024-03-06: 249.9}
1086940,"{2023-08-03: 199.99, 2023-12-21: 179.99, 2024-01-04: 199.99, 2024-03-14: 179.99, 2024-03-21: 199.99, 2024-05-16: 169.99}"
1091500,"{2022-06-10: 99.95, 2022-06-13: 199.9, 2022-06-23: 99.95, 2022-07-07: 199.9, 2022-08-08: 99.95, 2022-08-12: 199.9, 2022-09-12: 99.95, 2022-09-25: 199.9, 2022-10-28: 99.95, 2022-11-01: 199.9, 2022-11-22: 99.95, 2022-11-29: 199.9, 2022-12-08: 99.95, 2022-12-12: 199.9, 2022-12-22: 99.95, 2023-01-05: 199.9, 2023-01-16: 99.95, 2023-01-23: 199.9, 2023-03-16: 99.95, 2023-03-23: 199.9, 2023-04-12: 99.95, 2023-04-23: 199.9, 2023-06-11: 99.95, 2023-06-18: 199.9, 2023-06-29: 99.95, 2023-07-13: 199.9, 2023-08-14: 99.95, 2023-08-21: 199.9, 2023-09-20: 119.94, 2023-09-25: 110.34, 2023-09-26: 119.94, 2023-10-01: 199.9, 2023-10-31: 119.94, 2023-11-05: 199.9, 2023-11-21: 99.95, 2023-11-28: 199.9, 2023-12-05: 99.95, 2023-12-12: 199.9, 2023-12-21: 99.95, 2024-01-04: 199.9, 2024-02-08: 99.95, 2024-02-18: 199.9, 2024-03-14: 99.95, 2024-03-21: 199.9, 2024-03-28: 99.95, 2024-04-07: 199.9, 2024-05-16: 99.95}"
578080,{2022-01-10: 0}
1145350,{2024-05-06: 88.99}
