App ID,Posição,Link,Nome do Jogo,Avaliações Positivas,Avaliações Negativas,Avaliações Totais,Classificação
960090,32,https://steamdb.info/app/960090/,Bloons TD 6,299519,8121,307640,96.30
2050650,33,https://steamdb.info/app/2050650/,Resident Evil 4,133209,3348,136557,96.20
284160,34,https://steamdb.info/app/284160/,BeamNG.drive,241065,6735,247800,96.16
3590,35,https://steamdb.info/app/3590/,Plants vs. Zombies: Game of the Year,122365,3082,125447,96.16
1230140,36,https://steamdb.info/app/1230140/,ATRI -My Dear Moments-,15430,187,15617,96.14
367520,37,https://steamdb.info/app/367520/,Hollow Knight,339369,10002,349371,96.13
504230,38,https://steamdb.info/app/504230/,Celeste,90921,2216,93137,96.10
1366540,39,https://steamdb.info/app/1366540/,Dyson Sphere Program,77027,1814,78841,96.10
548430,40,https://steamdb.info/app/548430/,Deep Rock Galactic,280280,8242,288522,96.07
253230,41,https://steamdb.info/app/253230/,A Hat in Time,48487,1031,49518,96.07
205100,42,https://steamdb.info/app/205100/,Dishonored,76568,1849,78417,96.04
4000,43,https://steamdb.info/app/4000/,Garry's Mod,1032579,34852,1067431,96.02
2291760,44,https://steamdb.info/app/2291760/,Papa's Freezeria Deluxe,8167,59,8226,96.02
774181,45,https://steamdb.info/app/774181/,Rhythm Doctor,19257,299,19556,96.00
1583720,46,https://steamdb.info/app/1583720/,Entropy : Zero 2,22726,383,23109,95.99
1332010,47,https://steamdb.info/app/1332010/,Stray,134745,3745,138490,95.96
1288310,48,https://steamdb.info/app/1288310/,Firework,37682,785,38467,95.96
1281930,49,https://steamdb.info/app/1281930/,tModLoader,241418,7324,248742,95.94
1129190,50,https://steamdb.info/app/1129190/,Our Life: Beginnings &amp; Always,10903,120,11023,95.94
1086940,51,https://steamdb.info/app/1086940/,Baldur's Gate 3,589408,19607,609015,95.93
1361320,52,https://steamdb.info/app/1361320/,The Room 4: Old Sins,14111,194,14305,95.91
213670,53,https://steamdb.info/app/213670/,South Park™: The Stick of Truth™,59511,1449,60960,95.90
1467450,54,https://steamdb.info/app/1467450/,The Chronicles Of Myrtana: Archolos,13981,195,14176,95.89
588650,55,https://steamdb.info/app/588650/,Dead Cells,147167,4262,151429,95.88
1868140,56,https://steamdb.info/app/1868140/,DAVE THE DIVER,94067,2538,96605,95.88
1150690,57,https://steamdb.info/app/1150690/,OMORI,66646,1683,68329,95.87
1170880,58,https://steamdb.info/app/1170880/,Grimm's Hollow,12755,172,12927,95.85
219150,59,https://steamdb.info/app/219150/,Hotline Miami,91958,2577,94535,95.77
264710,60,https://steamdb.info/app/264710/,Subnautica,260945,8544,269489,95.74
1669980,61,https://steamdb.info/app/1669980/,Volcano Princess,31791,707,32498,95.73
526870,62,https://steamdb.info/app/526870/,Satisfactory,154932,4824,159756,95.71
250320,63,https://steamdb.info/app/250320/,The Wolf Among Us,32277,727,33004,95.71
774801,64,https://steamdb.info/app/774801/,Crab Champions,21115,420,21535,95.67
1931770,65,https://steamdb.info/app/1931770/,Chants of Sennaar,12959,203,13162,95.67
1942280,66,https://steamdb.info/app/1942280/,Brotato,73024,2047,75071,95.66
