,App ID,Game Name,Game Link
397,469820,Genital Jousting,https://steamdb.info/app/469820/
398,473690,Absolver,https://steamdb.info/app/473690/
399,474750,Reigns,https://steamdb.info/app/474750/
400,477770,Ride 2,https://steamdb.info/app/477770/
401,484950,恶魔迷宫 | Evil Maze,https://steamdb.info/app/484950/
402,485450,Ninja Stealth,https://steamdb.info/app/485450/
403,485610,Soccer Online: Ball 3D,https://steamdb.info/app/485610/
404,487700,Conan the mighty pig,https://steamdb.info/app/487700/
405,488730,God's Trigger,https://steamdb.info/app/488730/
406,489360,CASE: Animatronics,https://steamdb.info/app/489360/
407,498240,Batman - The Telltale Series,https://steamdb.info/app/498240/
408,498660,Mind Spheres,https://steamdb.info/app/498660/
409,503620,Fictorum,https://steamdb.info/app/503620/
410,506870,Unexplored,https://steamdb.info/app/506870/
411,508840,Broken Armor,https://steamdb.info/app/508840/
412,512900,Streets of Rogue,https://steamdb.info/app/512900/
413,515260,Virtual Rides 3 - Funfair Simulator,https://steamdb.info/app/515260/
414,516110,ToeJam & Earl: Back in the Groove!,https://steamdb.info/app/516110/
415,517630,Just Cause 4 Reloaded,https://steamdb.info/app/517630/
416,520950,DRIFT CE,https://steamdb.info/app/520950/
417,523210,A Normal Lost Phone,https://steamdb.info/app/523210/
418,523650,Lust for Darkness,https://steamdb.info/app/523650/
419,524640,Asura: Vengeance Edition,https://steamdb.info/app/524640/
420,525620,Octogeddon,https://steamdb.info/app/525620/
421,526790,Monsti,https://steamdb.info/app/526790/
422,529340,Victoria 3,https://steamdb.info/app/529340/
423,532190,Super Blood Hockey,https://steamdb.info/app/532190/
424,534380,Dying Light 2 Stay Human: Reloaded Edition,https://steamdb.info/app/534380/
425,539470,Police Stories,https://steamdb.info/app/539470/
426,540840,Lara Croft GO,https://steamdb.info/app/540840/
427,544610,Battlestar Galactica Deadlock,https://steamdb.info/app/544610/
428,546430,Pathway,https://steamdb.info/app/546430/
429,549260,Alwa's Awakening,https://steamdb.info/app/549260/
430,550840,Fresh Body,https://steamdb.info/app/550840/
431,552440,The Talos Principle VR,https://steamdb.info/app/552440/
432,552450,Serious Sam VR: The First Encounter,https://steamdb.info/app/552450/
433,553520,Trainz Railroad Simulator 2019,https://steamdb.info/app/553520/
434,557340,My Friend Pedro,https://steamdb.info/app/557340/
435,558420,Stories Untold,https://steamdb.info/app/558420/
436,559650,Witch It,https://steamdb.info/app/559650/
437,562360,"Planes, Bullets and Vodka",https://steamdb.info/app/562360/
438,562500,Warstone TD,https://steamdb.info/app/562500/
439,564310,Serious Sam Fusion 2017 (beta),https://steamdb.info/app/564310/
440,567670,Serious Sam 3 VR: BFE,https://steamdb.info/app/567670/
441,568930,The Land of Pain,https://steamdb.info/app/568930/
442,572410,Steel Division: Normandy 44,https://steamdb.info/app/572410/
443,572890,Pikuniku,https://steamdb.info/app/572890/
444,573120,Dead In Vinland,https://steamdb.info/app/573120/
445,573410,AI War 2,https://steamdb.info/app/573410/
446,578620,GORN,https://steamdb.info/app/578620/
447,579840,Bloody Trapland 2: Curiosity,https://steamdb.info/app/579840/
448,582160,Assassin's Creed® Origins,https://steamdb.info/app/582160/
449,582660,Black Desert,https://steamdb.info/app/582660/
450,583930,Faerie Solitaire Remastered,https://steamdb.info/app/583930/
451,585020,Big Bia,https://steamdb.info/app/585020/
452,585710,Blazing Beaks,https://steamdb.info/app/585710/
453,586950,The Wizards - Enhanced Edition,https://steamdb.info/app/586950/
454,588110,One Dog Story,https://steamdb.info/app/588110/
455,588650,Dead Cells,https://steamdb.info/app/588650/
456,589360,Ni no Kuni™ II: Revenant Kingdom,https://steamdb.info/app/589360/
457,589780,The Red Strings Club,https://steamdb.info/app/589780/
458,595440,CPU Invaders,https://steamdb.info/app/595440/
459,597150,Hyper Knights,https://steamdb.info/app/597150/
460,598060,Slasher's Keep,https://steamdb.info/app/598060/
461,598550,HUNTDOWN,https://steamdb.info/app/598550/
462,598700,The Vagrant,https://steamdb.info/app/598700/
463,599080,The Blackout Club,https://steamdb.info/app/599080/
464,599460,Weapon Shop Fantasy,https://steamdb.info/app/599460/
465,603530,A Robot Named Fight!,https://steamdb.info/app/603530/
466,603960,Star of Providence,https://steamdb.info/app/603960/
467,605740,"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",https://steamdb.info/app/605740/
468,606150,Moonlighter,https://steamdb.info/app/606150/
469,606880,GreedFall,https://steamdb.info/app/606880/
470,609320,FAR: Lone Sails,https://steamdb.info/app/609320/
471,609490,Minit,https://steamdb.info/app/609490/
472,610180,The Jackbox Party Pack 4,https://steamdb.info/app/610180/
473,616110,SPACEPLAN,https://steamdb.info/app/616110/
474,617290,Remnant: From the Ashes,https://steamdb.info/app/617290/
475,619280,Gloom,https://steamdb.info/app/619280/
476,619780,The Swords of Ditto: Mormo's Curse,https://steamdb.info/app/619780/
477,622720,Weedcraft Inc,https://steamdb.info/app/622720/
478,624970,Battlezone: Combat Commander,https://steamdb.info/app/624970/
479,626610,TT Isle of Man: Ride on the Edge,https://steamdb.info/app/626610/
480,626690,Sword Art Online: Fatal Bullet,https://steamdb.info/app/626690/
481,628770,Tangledeep,https://steamdb.info/app/628770/
482,630720,Mana Spark,https://steamdb.info/app/630720/
483,632300,Hobo: Tough Life,https://steamdb.info/app/632300/
484,632360,Risk of Rain 2,https://steamdb.info/app/632360/
485,636150,Cyberhunt,https://steamdb.info/app/636150/
486,637090,BATTLETECH,https://steamdb.info/app/637090/
487,640120,Youropa,https://steamdb.info/app/640120/
488,640890,Will Glow the Wisp,https://steamdb.info/app/640890/
489,644560,Mirror,https://steamdb.info/app/644560/
490,646570,Slay the Spire,https://steamdb.info/app/646570/
491,650440,Warbanners,https://steamdb.info/app/650440/
492,658700,V-Rally 4,https://steamdb.info/app/658700/
493,662960,Mysteria ~Occult Shadows~,https://steamdb.info/app/662960/
494,668550,8Doors: Arum's Afterlife Adventure,https://steamdb.info/app/668550/
